origin_code,destination_code,airline_code,flight_number,cabin_class,price,currency,departure_date,days_until_dep,day_of_week,month,week_of_year,is_holiday,is_weekend,seats_available,recorded_at,is_live
AMD,CCU,UK,HIST-000,Economy,6697,INR,2025-11-08,14,5,11,45,False,True,50,2025-10-25 00:00:00,False
COK,DEL,2T,HIST-000,Economy,6651,INR,2024-04-01,14,0,4,14,False,False,50,2024-03-18 00:00:00,False
STV,GAU,AI,HIST-000,Economy,10021,INR,2023-01-17,14,1,1,3,False,False,50,2023-01-03 00:00:00,False
DEL,BOM,9I,HIST-000,Economy,4464,INR,2023-02-02,14,3,2,5,False,False,50,2023-01-19 00:00:00,False
BBI,GOI,AI,HIST-000,Economy,13609,INR,2025-04-24,14,3,4,17,False,False,50,2025-04-10 00:00:00,False
GAU,IDR,6E,HIST-000,Economy,7534,INR,2025-04-08,14,1,4,15,False,False,50,2025-03-25 00:00:00,False
STV,GAU,AI,HIST-000,Economy,11785,INR,2024-05-12,14,6,5,19,False,True,50,2024-04-28 00:00:00,False
NAG,DEL,I5,HIST-000,Economy,5304,INR,2024-01-04,14,3,1,1,False,False,50,2023-12-21 00:00:00,False
PNQ,GAU,SG,HIST-000,Economy,12764,INR,2023-07-19,14,2,7,29,False,False,50,2023-07-05 00:00:00,False
DEL,GOI,6E,HIST-000,Economy,5911,INR,2024-07-24,14,2,7,30,False,False,50,2024-07-10 00:00:00,False
BBI,HYD,6E,HIST-000,Economy,14219,INR,2023-04-14,14,4,4,15,False,False,50,2023-03-31 00:00:00,False
VNS,PAT,S5,HIST-000,Economy,7560,INR,2023-02-17,14,4,2,7,False,False,50,2023-02-03 00:00:00,False
COK,DEL,9I,HIST-000,Economy,8795,INR,2023-09-20,14,2,9,38,False,False,50,2023-09-06 00:00:00,False
AMD,PNQ,SG,HIST-000,Economy,11252,INR,2024-01-26,14,4,1,4,False,False,50,2024-01-12 00:00:00,False
AMD,STV,AI,HIST-000,Economy,13356,INR,2025-10-07,14,1,10,41,False,False,50,2025-09-23 00:00:00,False
BLR,COK,QP,HIST-000,Economy,8634,INR,2023-10-15,14,6,10,41,False,True,50,2023-10-01 00:00:00,False
HYD,LKO,UK,HIST-000,Economy,13848,INR,2025-02-06,14,3,2,6,False,False,50,2025-01-23 00:00:00,False
LKO,BLR,S5,HIST-000,Economy,8729,INR,2024-01-07,14,6,1,1,False,True,50,2023-12-24 00:00:00,False
BOM,PNQ,QP,HIST-000,Economy,8568,INR,2025-12-27,14,5,12,52,False,True,50,2025-12-13 00:00:00,False
CCU,NAG,I5,HIST-000,Economy,7903,INR,2023-10-08,14,6,10,40,False,True,50,2023-09-24 00:00:00,False
MAA,BBI,QP,HIST-000,Economy,10296,INR,2024-04-12,14,4,4,15,False,False,50,2024-03-29 00:00:00,False
COK,PNQ,S5,HIST-000,Economy,11180,INR,2025-01-16,14,3,1,3,False,False,50,2025-01-02 00:00:00,False
STV,GOI,6E,HIST-000,Economy,13104,INR,2023-03-10,14,4,3,10,False,False,50,2023-02-24 00:00:00,False
LKO,VNS,AI,HIST-000,Economy,10297,INR,2024-04-16,14,1,4,16,False,False,50,2024-04-02 00:00:00,False
JAI,VNS,I5,HIST-000,Economy,12357,INR,2023-02-11,14,5,2,6,False,True,50,2023-01-28 00:00:00,False
NAG,BOM,AI,HIST-000,Economy,5169,INR,2024-01-01,14,0,1,1,False,False,50,2023-12-18 00:00:00,False
PAT,DEL,I5,HIST-000,Economy,7959,INR,2024-01-19,14,4,1,3,False,False,50,2024-01-05 00:00:00,False
RPR,BLR,G8,HIST-000,Economy,12458,INR,2025-12-10,14,2,12,50,False,False,50,2025-11-26 00:00:00,False
MAA,BLR,I5,HIST-000,Economy,9502,INR,2024-04-09,14,1,4,15,False,False,50,2024-03-26 00:00:00,False
CCU,NAG,AI,HIST-000,Economy,12080,INR,2024-02-17,14,5,2,7,False,True,50,2024-02-03 00:00:00,False
GOI,STV,2T,HIST-000,Economy,13535,INR,2023-06-21,14,2,6,25,False,False,50,2023-06-07 00:00:00,False
VNS,PAT,AI,HIST-000,Economy,10338,INR,2023-09-11,14,0,9,37,False,False,50,2023-08-28 00:00:00,False
VNS,NAG,SG,HIST-000,Economy,6685,INR,2023-12-07,14,3,12,49,False,False,50,2023-11-23 00:00:00,False
VNS,COK,S5,HIST-000,Economy,13565,INR,2025-03-10,14,0,3,11,False,False,50,2025-02-24 00:00:00,False
IDR,BBI,2T,HIST-000,Economy,6068,INR,2023-02-04,14,5,2,5,False,True,50,2023-01-21 00:00:00,False
AMD,JAI,2T,HIST-000,Economy,4849,INR,2024-06-07,14,4,6,23,False,False,50,2024-05-24 00:00:00,False
PAT,IDR,QP,HIST-000,Economy,9683,INR,2025-03-04,14,1,3,10,False,False,50,2025-02-18 00:00:00,False
LKO,PNQ,6E,HIST-000,Economy,10038,INR,2023-04-27,14,3,4,17,False,False,50,2023-04-13 00:00:00,False
DEL,PNQ,6E,HIST-000,Economy,12378,INR,2025-09-13,14,5,9,37,False,True,50,2025-08-30 00:00:00,False
IDR,VNS,6E,HIST-000,Economy,10303,INR,2023-06-03,14,5,6,22,False,True,50,2023-05-20 00:00:00,False
BBI,BLR,QP,HIST-000,Economy,8884,INR,2024-06-24,14,0,6,26,False,False,50,2024-06-10 00:00:00,False
CCU,HYD,I5,HIST-000,Economy,4429,INR,2023-09-22,14,4,9,38,False,False,50,2023-09-08 00:00:00,False
HYD,RPR,S5,HIST-000,Economy,7663,INR,2025-07-20,14,6,7,29,False,True,50,2025-07-06 00:00:00,False
RPR,AMD,QP,HIST-000,Economy,10320,INR,2023-12-24,14,6,12,51,False,True,50,2023-12-10 00:00:00,False
BBI,HYD,S5,HIST-000,Economy,9541,INR,2023-04-08,14,5,4,14,False,True,50,2023-03-25 00:00:00,False
DEL,COK,SG,HIST-000,Economy,5904,INR,2023-12-26,14,1,12,52,False,False,50,2023-12-12 00:00:00,False
HYD,RPR,G8,HIST-000,Economy,9886,INR,2025-03-15,14,5,3,11,False,True,50,2025-03-01 00:00:00,False
GAU,NAG,SG,HIST-000,Economy,11410,INR,2024-09-04,14,2,9,36,False,False,50,2024-08-21 00:00:00,False
NAG,COK,6E,HIST-000,Economy,12806,INR,2023-02-03,14,4,2,5,False,False,50,2023-01-20 00:00:00,False
JAI,CCU,S5,HIST-000,Economy,11441,INR,2023-01-01,14,6,1,52,False,True,50,2022-12-18 00:00:00,False
GOI,RPR,G8,HIST-000,Economy,13891,INR,2025-10-10,14,4,10,41,False,False,50,2025-09-26 00:00:00,False
DEL,JAI,S5,HIST-000,Economy,11575,INR,2024-02-21,14,2,2,8,False,False,50,2024-02-07 00:00:00,False
COK,HYD,2T,HIST-000,Economy,12917,INR,2025-08-09,14,5,8,32,False,True,50,2025-07-26 00:00:00,False
MAA,PNQ,I5,HIST-000,Economy,6298,INR,2025-12-09,14,1,12,50,False,False,50,2025-11-25 00:00:00,False
PNQ,GOI,G8,HIST-000,Economy,10610,INR,2024-11-26,14,1,11,48,False,False,50,2024-11-12 00:00:00,False
MAA,IDR,G8,HIST-000,Economy,5274,INR,2023-02-13,14,0,2,7,False,False,50,2023-01-30 00:00:00,False
LKO,AMD,SG,HIST-000,Economy,6749,INR,2024-07-10,14,2,7,28,False,False,50,2024-06-26 00:00:00,False
IDR,RPR,SG,HIST-000,Economy,14499,INR,2023-07-12,14,2,7,28,False,False,50,2023-06-28 00:00:00,False
IDR,VNS,AI,HIST-000,Economy,9535,INR,2024-09-19,14,3,9,38,False,False,50,2024-09-05 00:00:00,False
BOM,GOI,I5,HIST-000,Economy,7317,INR,2025-10-09,14,3,10,41,False,False,50,2025-09-25 00:00:00,False
STV,GAU,9I,HIST-000,Economy,10613,INR,2025-08-09,14,5,8,32,False,True,50,2025-07-26 00:00:00,False
GOI,STV,6E,HIST-000,Economy,12864,INR,2024-06-24,14,0,6,26,False,False,50,2024-06-10 00:00:00,False
BBI,DEL,G8,HIST-000,Economy,6886,INR,2024-07-11,14,3,7,28,False,False,50,2024-06-27 00:00:00,False
IDR,PAT,2T,HIST-000,Economy,9491,INR,2024-05-25,14,5,5,21,False,True,50,2024-05-11 00:00:00,False
BLR,AMD,SG,HIST-000,Economy,12398,INR,2024-11-16,14,5,11,46,False,True,50,2024-11-02 00:00:00,False
NAG,RPR,UK,HIST-000,Economy,5263,INR,2023-04-24,14,0,4,17,False,False,50,2023-04-10 00:00:00,False
PAT,RPR,SG,HIST-000,Economy,9439,INR,2023-06-22,14,3,6,25,False,False,50,2023-06-08 00:00:00,False
NAG,JAI,9I,HIST-000,Economy,7784,INR,2023-08-03,14,3,8,31,False,False,50,2023-07-20 00:00:00,False
BBI,RPR,G8,HIST-000,Economy,16857,INR,2025-04-01,14,1,4,14,False,False,50,2025-03-18 00:00:00,False
JAI,BLR,I5,HIST-000,Economy,13112,INR,2025-01-05,14,6,1,1,False,True,50,2024-12-22 00:00:00,False
GAU,DEL,6E,HIST-000,Economy,5654,INR,2023-02-25,14,5,2,8,False,True,50,2023-02-11 00:00:00,False
BLR,BBI,6E,HIST-000,Economy,13006,INR,2025-12-16,14,1,12,51,False,False,50,2025-12-02 00:00:00,False
IDR,NAG,I5,HIST-000,Economy,10807,INR,2023-02-22,14,2,2,8,False,False,50,2023-02-08 00:00:00,False
LKO,MAA,6E,HIST-000,Economy,5123,INR,2024-09-02,14,0,9,36,False,False,50,2024-08-19 00:00:00,False
COK,NAG,UK,HIST-000,Economy,3760,INR,2025-11-01,14,5,11,44,False,True,50,2025-10-18 00:00:00,False
CCU,HYD,AI,HIST-000,Economy,11488,INR,2023-04-07,14,4,4,14,False,False,50,2023-03-24 00:00:00,False
NAG,IDR,QP,HIST-000,Economy,9023,INR,2025-07-09,14,2,7,28,False,False,50,2025-06-25 00:00:00,False
COK,JAI,SG,HIST-000,Economy,5548,INR,2023-09-19,14,1,9,38,False,False,50,2023-09-05 00:00:00,False
RPR,BLR,G8,HIST-000,Economy,7339,INR,2024-04-07,14,6,4,14,False,True,50,2024-03-24 00:00:00,False
LKO,CCU,UK,HIST-000,Economy,8107,INR,2023-01-06,14,4,1,1,False,False,50,2022-12-23 00:00:00,False
PNQ,JAI,AI,HIST-000,Economy,10497,INR,2024-07-05,14,4,7,27,False,False,50,2024-06-21 00:00:00,False
MAA,BLR,G8,HIST-000,Economy,12053,INR,2023-06-26,14,0,6,26,False,False,50,2023-06-12 00:00:00,False
VNS,DEL,SG,HIST-000,Economy,4106,INR,2023-10-24,14,1,10,43,False,False,50,2023-10-10 00:00:00,False
NAG,AMD,S5,HIST-000,Economy,9642,INR,2025-01-03,14,4,1,1,False,False,50,2024-12-20 00:00:00,False
IDR,VNS,G8,HIST-000,Economy,5992,INR,2023-11-21,14,1,11,47,False,False,50,2023-11-07 00:00:00,False
BBI,MAA,UK,HIST-000,Economy,8004,INR,2024-03-03,14,6,3,9,False,True,50,2024-02-18 00:00:00,False
GOI,AMD,I5,HIST-000,Economy,8726,INR,2025-01-04,14,5,1,1,False,True,50,2024-12-21 00:00:00,False
STV,DEL,2T,HIST-000,Economy,14994,INR,2024-02-17,14,5,2,7,False,True,50,2024-02-03 00:00:00,False
IDR,BOM,SG,HIST-000,Economy,14161,INR,2025-07-01,14,1,7,27,False,False,50,2025-06-17 00:00:00,False
BBI,RPR,AI,HIST-000,Economy,3452,INR,2024-07-24,14,2,7,30,False,False,50,2024-07-10 00:00:00,False
BOM,AMD,2T,HIST-000,Economy,2697,INR,2024-02-01,14,3,2,5,False,False,50,2024-01-18 00:00:00,False
AMD,LKO,S5,HIST-000,Economy,13535,INR,2024-12-04,14,2,12,49,False,False,50,2024-11-20 00:00:00,False
NAG,COK,QP,HIST-000,Economy,9526,INR,2023-12-16,14,5,12,50,False,True,50,2023-12-02 00:00:00,False
NAG,AMD,9I,HIST-000,Economy,9946,INR,2025-09-16,14,1,9,38,False,False,50,2025-09-02 00:00:00,False
PAT,GAU,G8,HIST-000,Economy,17307,INR,2025-05-23,14,4,5,21,False,False,50,2025-05-09 00:00:00,False
VNS,BLR,SG,HIST-000,Economy,9771,INR,2024-08-01,14,3,8,31,False,False,50,2024-07-18 00:00:00,False
JAI,IDR,S5,HIST-000,Economy,13491,INR,2024-04-01,14,0,4,14,False,False,50,2024-03-18 00:00:00,False
NAG,BLR,I5,HIST-000,Economy,9672,INR,2025-06-28,14,5,6,26,False,True,50,2025-06-14 00:00:00,False
STV,VNS,QP,HIST-000,Economy,3601,INR,2023-05-20,14,5,5,20,False,True,50,2023-05-06 00:00:00,False
PNQ,STV,G8,HIST-000,Economy,6725,INR,2025-12-26,14,4,12,52,False,False,50,2025-12-12 00:00:00,False
CCU,PNQ,2T,HIST-000,Economy,16460,INR,2023-03-19,14,6,3,11,False,True,50,2023-03-05 00:00:00,False
